               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.05794,            0.047186,            0.003327,             0.90637,             0.84609,             0.91732,             0.48162,            0.054124,            0.037147,           0.0033727,             0.00769,             0.00769,             0.00769
                  37,             0.05896,            0.048708,           0.0031766,             0.87485,             0.87153,             0.91346,             0.45255,             0.05433,            0.036631,            0.002883,            0.007624,            0.007624,            0.007624
                  38,            0.057943,            0.050545,           0.0033605,             0.89919,             0.88565,             0.92943,             0.50435,            0.051016,             0.03549,           0.0027494,            0.007558,            0.007558,            0.007558
                  39,            0.058026,            0.047774,           0.0033521,             0.90154,             0.87611,             0.93522,             0.51251,            0.052274,            0.035489,            0.002656,            0.007492,            0.007492,            0.007492
                  40,            0.056278,            0.046527,            0.003202,             0.91292,             0.89896,             0.92721,             0.50267,            0.052825,            0.035712,           0.0023198,            0.007426,            0.007426,            0.007426
                  41,            0.057035,            0.048195,           0.0028906,             0.91182,             0.90981,             0.94194,             0.51273,            0.050743,            0.035386,           0.0022732,             0.00736,             0.00736,             0.00736
                  42,            0.054171,            0.044536,           0.0031684,             0.91994,              0.9057,             0.94406,              0.5287,            0.050379,            0.034491,           0.0020393,            0.007294,            0.007294,            0.007294
                  43,            0.055187,            0.047382,           0.0028827,             0.92993,             0.88595,             0.93928,             0.52864,            0.051807,            0.034268,           0.0024137,            0.007228,            0.007228,            0.007228
                  44,             0.05666,            0.046006,           0.0030336,             0.92704,              0.8991,             0.94594,             0.53327,            0.050804,            0.034565,           0.0028571,            0.007162,            0.007162,            0.007162
                  45,            0.054991,            0.048156,            0.002989,             0.89982,             0.88489,             0.92701,             0.49992,            0.049967,            0.035095,           0.0022682,            0.007096,            0.007096,            0.007096
                  46,             0.05563,            0.045479,           0.0022103,             0.94008,              0.8352,             0.91307,             0.52443,            0.051472,            0.035603,           0.0026733,             0.00703,             0.00703,             0.00703
                  47,            0.055783,            0.046525,           0.0029196,             0.91374,             0.88288,             0.93402,             0.53252,            0.049248,            0.034893,           0.0025948,            0.006964,            0.006964,            0.006964
                  48,            0.054206,            0.045957,           0.0036335,             0.92705,             0.88089,             0.94192,              0.5306,            0.049595,            0.034304,           0.0020928,            0.006898,            0.006898,            0.006898
                  49,            0.054255,            0.045741,           0.0023614,             0.92265,             0.88503,             0.94378,             0.53524,            0.048817,            0.034147,           0.0020506,            0.006832,            0.006832,            0.006832
                  50,            0.054586,            0.046716,           0.0021576,             0.89216,               0.894,                0.94,             0.53914,            0.049886,            0.035008,           0.0021551,            0.006766,            0.006766,            0.006766
                  51,            0.054463,            0.043695,           0.0022549,             0.90152,             0.92119,             0.94711,             0.51556,            0.050736,            0.034462,           0.0021336,              0.0067,              0.0067,              0.0067
                  52,            0.054448,            0.047569,            0.003013,             0.94447,             0.82322,             0.92756,             0.50524,            0.050518,            0.035792,           0.0022087,            0.006634,            0.006634,            0.006634
                  53,            0.052828,            0.046551,           0.0037771,             0.93623,             0.88363,             0.94142,             0.55216,            0.050825,            0.034104,           0.0019536,            0.006568,            0.006568,            0.006568
                  54,            0.052278,            0.042275,           0.0025673,             0.93134,             0.88871,             0.94357,             0.54779,             0.04936,            0.034732,           0.0018965,            0.006502,            0.006502,            0.006502
                  55,            0.054822,            0.047572,           0.0023849,             0.93921,             0.90432,             0.95438,             0.54105,            0.049662,            0.033968,           0.0019507,            0.006436,            0.006436,            0.006436
                  56,            0.052936,            0.044995,           0.0029901,             0.92535,             0.91369,             0.95347,             0.55623,            0.047959,            0.033085,           0.0020137,             0.00637,             0.00637,             0.00637
                  57,            0.053286,            0.047557,           0.0024546,             0.95519,             0.91123,             0.95795,             0.53879,            0.047857,            0.033228,           0.0018831,            0.006304,            0.006304,            0.006304
                  58,            0.053452,            0.042644,           0.0022639,             0.92109,             0.90865,             0.95848,             0.55082,            0.047709,             0.03344,           0.0018764,            0.006238,            0.006238,            0.006238
                  59,            0.053134,            0.046923,           0.0035161,             0.93895,              0.9154,             0.95661,             0.56912,            0.048323,            0.033022,           0.0018513,            0.006172,            0.006172,            0.006172
                  60,            0.053836,            0.049387,           0.0024537,             0.92884,             0.91658,             0.95908,             0.56292,             0.04824,            0.033277,           0.0018666,            0.006106,            0.006106,            0.006106
                  61,            0.053971,            0.047768,           0.0024926,             0.93773,             0.91591,             0.96015,             0.56255,            0.049031,             0.03322,           0.0019001,             0.00604,             0.00604,             0.00604
                  62,            0.052252,            0.041529,           0.0020411,             0.94737,             0.88702,             0.95184,             0.55857,            0.048165,            0.032731,           0.0019079,            0.005974,            0.005974,            0.005974
                  63,            0.051086,            0.042898,           0.0018724,             0.91064,             0.91004,             0.94914,             0.57534,            0.051299,            0.033113,           0.0018829,            0.005908,            0.005908,            0.005908
                  64,            0.051682,            0.043113,           0.0019301,             0.93039,             0.91959,             0.95996,             0.57283,            0.048407,            0.033595,           0.0021573,            0.005842,            0.005842,            0.005842
                  65,            0.051238,            0.044312,           0.0027149,             0.93605,             0.93112,             0.95125,             0.57341,            0.047261,             0.03255,           0.0018739,            0.005776,            0.005776,            0.005776
